TIMESTAMP,Calendrier,HTB
1141,HPH,18
1142,HPH,18
1143,HPH,18
1144,HPH,18
1145,HPH,18
1146,HPH,18
1147,P,21.8
1148,P,21.8
1149,HPH,18
1150,HPH,18
1151,HPH,18
1152,HCH,15.3
1153,HCH,15.3
1154,HCH,15.3
1155,HCH,15.3
1156,HCH,15.3
1157,HCH,15.3
1158,HCH,15.3
1159,HCH,15.3
1160,HPH,18
1161,HPH,18
1162,P,21.8
1163,P,21.8
1164,HPH,18
1165,HPH,18
1166,HPH,18
1167,HPH,18
1168,HPH,18
1169,HPH,18
1170,HPH,18
1171,P,21.8
1172,P,21.8
1173,HPH,18
1174,HPH,18
1175,HPH,18
1176,HCH,15.3
1177,HCH,15.3
1178,HCH,15.3
1179,HCH,15.3
1180,HCH,15.3
1181,HCH,15.3
1182,HCH,15.3
1183,HCH,15.3
1184,HPH,18
1185,HPH,18
1186,P,21.8
1187,P,21.8
1188,HPH,18
1189,HPH,18
1190,HPH,18
1191,HPH,18
1192,HPH,18
1193,HPH,18
1194,HPH,18
1195,P,21.8
1196,P,21.8
1197,HPH,18
1198,HPH,18
1199,HPH,18
1200,HCH,15.3
1201,HCH,15.3
1202,HCH,15.3
1203,HCH,15.3
1204,HCH,15.3
1205,HCH,15.3
1206,HCH,15.3
1207,HCH,15.3
1208,HPH,18
1209,HPH,18
1210,P,21.8
1211,P,21.8
1212,HPH,18
1213,HPH,18
1214,HPH,18
1215,HPH,18
1216,HPH,18
1217,HPH,18
1218,HPH,18
1219,P,21.8
1220,P,21.8
1221,HPH,18
1222,HPH,18
1223,HPH,18
1224,HCH,15.3
1225,HCH,15.3
1226,HCH,15.3
1227,HCH,15.3
1228,HCH,15.3
1229,HCH,15.3
1230,HCH,15.3
1231,HCH,15.3
1232,HPH,18
1233,HPH,18
1234,P,21.8
1235,P,21.8
1236,HPH,18
1237,HPH,18
1238,HPH,18
1239,HPH,18
1240,HPH,18
1241,HPH,18
1242,HPH,18
1243,P,21.8
1244,P,21.8
1245,HPH,18
1246,HPH,18
1247,HPH,18
1248,HCH,15.3
1249,HCH,15.3
1250,HCH,15.3
1251,HCH,15.3
1252,HCH,15.3
1253,HCH,15.3
1254,HCH,15.3
1255,HCH,15.3
1256,HPH,18
1257,HPH,18
1258,P,21.8
1259,P,21.8
1260,HPH,18
1261,HPH,18
1262,HPH,18
1263,HPH,18
1264,HPH,18
1265,HPH,18
1266,HPH,18
1267,P,21.8
1268,P,21.8
1269,HPH,18
1270,HPH,18
1271,HPH,18
1272,HCH,15.3
1273,HCH,15.3
1274,HCH,15.3
1275,HCH,15.3
1276,HCH,15.3
1277,HCH,15.3
1278,HCH,15.3
1279,HCH,15.3
1280,HPH,18
1281,HPH,18
1282,P,21.8
1283,P,21.8
1284,HPH,18
1285,HPH,18
1286,HPH,18
1287,HPH,18
1288,HPH,18
1289,HPH,18
1290,HPH,18
1291,P,21.8
1292,P,21.8
1293,HPH,18
1294,HPH,18
1295,HPH,18
1296,HCH,15.3
1297,HCH,15.3
1298,HCH,15.3
1299,HCH,15.3
1300,HCH,15.3
1301,HCH,15.3
1302,HCH,15.3
1303,HCH,15.3
1304,HPH,18
1305,HPH,18
1306,P,21.8
1307,P,21.8
1308,HPH,18
1309,HPH,18
1310,HPH,18
1311,HPH,18
1312,HPH,18
1313,HPH,18
1314,HPH,18
1315,P,21.8
1316,P,21.8
1317,HPH,18
1318,HPH,18
1319,HPH,18
1320,HCH,15.3
1321,HCH,15.3
1322,HCH,15.3
1323,HCH,15.3
1324,HCH,15.3
1325,HCH,15.3
1326,HCH,15.3
1327,HCH,15.3
1328,HPH,18
1329,HPH,18
1330,P,21.8
1331,P,21.8
1332,HPH,18
1333,HPH,18
1334,HPH,18
1335,HPH,18
1336,HPH,18
1337,HPH,18
1338,HPH,18
1339,P,21.8
1340,P,21.8
1341,HPH,18
1342,HPH,18
1343,HPH,18
1344,HCH,15.3
1345,HCH,15.3
1346,HCH,15.3
1347,HCH,15.3
1348,HCH,15.3
1349,HCH,15.3
1350,HCH,15.3
1351,HCH,15.3
1352,HPH,18
1353,HPH,18
1354,P,21.8
1355,P,21.8
1356,HPH,18
1357,HPH,18
1358,HPH,18
1359,HPH,18
1360,HPH,18
1361,HPH,18
1362,HPH,18
1363,P,21.8
1364,P,21.8
1365,HPH,18
1366,HPH,18
1367,HPH,18
1368,HCH,15.3
1369,HCH,15.3
1370,HCH,15.3
1371,HCH,15.3
1372,HCH,15.3
1373,HCH,15.3
1374,HCH,15.3
1375,HCH,15.3
1376,HPH,18
1377,HPH,18
1378,P,21.8
1379,P,21.8
1380,HPH,18
1381,HPH,18
1382,HPH,18
1383,HPH,18
1384,HPH,18
1385,HPH,18
1386,HPH,18
1387,P,21.8
1388,P,21.8
1389,HPH,18
1390,HPH,18
1391,HPH,18
1392,HCH,15.3
1393,HCH,15.3
1394,HCH,15.3
1395,HCH,15.3
1396,HCH,15.3
1397,HCH,15.3
1398,HCH,15.3
1399,HCH,15.3
1400,HPH,18
1401,HPH,18
1402,P,21.8
1403,P,21.8
1404,HPH,18
1405,HPH,18
1406,HPH,18
1407,HPH,18
1408,HPH,18
1409,HPH,18
1410,HPH,18
1411,P,21.8
1412,P,21.8
1413,HPH,18
1414,HPH,18
1415,HPH,18
1416,HCH,15.3
1417,HCH,15.3
1418,HCH,15.3
1419,HCH,15.3
1420,HCH,15.3
1421,HCH,15.3
1422,HCH,15.3
1423,HCH,15.3
1424,HPH,18
1425,HPH,18
1426,HPH,18
1427,HPH,18
1428,HPH,18
1429,HPH,18
1430,HPH,18
1431,HPH,18
1432,HPH,18
1433,HPH,18
1434,HPH,18
1435,HPH,18
1436,HPH,18
1437,HPH,18
1438,HPH,18
1439,HPH,18
1440,HCH,15.3
1441,HCH,15.3
1442,HCH,15.3
1443,HCH,15.3
1444,HCH,15.3
1445,HCH,15.3
1446,HCH,15.3
1447,HCH,15.3
1448,HPH,18
1449,HPH,18
1450,HPH,18
1451,HPH,18
1452,HPH,18
1453,HPH,18
1454,HPH,18
1455,HPH,18
1456,HPH,18
1457,HPH,18
1458,HPH,18
1459,HPH,18
1460,HPH,18
1461,HPH,18
1462,HPH,18
1463,HPH,18
1464,HCH,15.3
1465,HCH,15.3
1466,HCH,15.3
1467,HCH,15.3
1468,HCH,15.3
1469,HCH,15.3
1470,HCH,15.3
1471,HCH,15.3
1472,HPH,18
1473,HPH,18
1474,HPH,18
1475,HPH,18
1476,HPH,18
1477,HPH,18
1478,HPH,18
1479,HPH,18
1480,HPH,18
1481,HPH,18
1482,HPH,18
1483,HPH,18
1484,HPH,18
1485,HPH,18
1486,HPH,18
1487,HPH,18
1488,HCH,15.3
1489,HCH,15.3
1490,HCH,15.3
1491,HCH,15.3
1492,HCH,15.3
1493,HCH,15.3
1494,HCH,15.3
1495,HCH,15.3
1496,HPH,18
1497,HPH,18
1498,HPH,18
1499,HPH,18
1500,HPH,18
1501,HPH,18
1502,HPH,18
1503,HPH,18
1504,HPH,18
1505,HPH,18
1506,HPH,18
1507,HPH,18
1508,HPH,18
1509,HPH,18
1510,HPH,18
1511,HPH,18
1512,HCH,15.3
1513,HCH,15.3
1514,HCH,15.3
1515,HCH,15.3
1516,HCH,15.3
1517,HCH,15.3
1518,HCH,15.3
1519,HCH,15.3
1520,HPH,18
1521,HPH,18
1522,HPH,18
1523,HPH,18
1524,HPH,18
1525,HPH,18
1526,HPH,18
1527,HPH,18
1528,HPH,18
1529,HPH,18
1530,HPH,18
1531,HPH,18
1532,HPH,18
1533,HPH,18
1534,HPH,18
1535,HPH,18
1536,HCH,15.3
1537,HCH,15.3
1538,HCH,15.3
1539,HCH,15.3
1540,HCH,15.3
1541,HCH,15.3
1542,HCH,15.3
